entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-11-14,2025-11-17,9.1,1.65,25450,25150,26450,26750,290.9,-41.25,target,-0.04125,-6007.5
2025-11-21,2025-11-24,5.5,1.7,25550,25300,26600,26850,244.5,-315.0,target,-0.315,-6322.5
2025-11-28,2025-12-01,5.75,2.75,25850,25600,26900,27200,294.25,-375.0,target,-0.375,-6697.5
2025-12-05,2025-12-08,3.15,11.95,25800,25550,26850,27100,246.85,-1260.0,stop_loss,-1.26,-7957.5
2025-12-12,2025-12-15,2.95,1.2,25600,25350,26650,26950,297.05,-468.75,target,-0.46875,-8426.25
2025-12-19,2025-12-22,2.35,1.05,25500,25250,26550,26800,247.65,-502.5,target,-0.5025,-8928.75
2025-12-26,2025-12-29,1.45,0.65,25550,25300,26600,26850,248.55,-540.0,target,-0.54,-9468.75
2026-01-02,2026-01-06,3.4,0.0,25950,25650,27000,27250,296.6,-345.0,target,-0.345,-9813.75
2026-01-09,2026-01-12,7.55,2.5,25250,25000,26300,26550,242.45,-221.25000000000006,target,-0.22125000000000006,-10035.0
2026-01-16,2026-01-19,6.1,2.55,25250,25000,26250,26500,243.9,-333.75,target,-0.33375,-10368.75
2026-01-22,2026-01-27,13.0,0.2,24850,24600,25850,26100,237.0,360.0,target,0.36,-10008.75
2026-01-30,2026-02-03,49.45,0.6,24900,24650,25900,26200,250.55,3063.75,target,3.06375,-6945.0
2026-02-06,2026-02-10,8.95,0.05,25200,24950,26250,26500,241.05,67.49999999999989,target,0.06749999999999988,-6877.5
2026-02-13,2026-02-17,12.8,0.05,25000,24750,26050,26300,237.2,356.2499999999999,target,0.3562499999999999,-6521.25
2026-02-20,2026-02-23,16.05,5.45,25050,24800,26100,26350,233.95,194.9999999999999,target,0.1949999999999999,-6326.25
2026-02-26,2026-02-27,14.2,45.1,25100,24850,26150,26400,235.8,-2917.4999999999995,stop_loss,-2.9174999999999995,-9243.75
2026-03-06,2026-03-10,63.2,0.15,24050,23800,25050,25300,186.8,4128.75,target,4.12875,-5115.0
2026-03-13,2026-03-17,78.75,1.75,22750,22500,23650,23900,171.25,5175.0,target,5.175,60.0
2026-03-20,2026-03-24,77.0,0.15,22700,22450,23600,23850,173.0,5163.75,target,5.16375,5223.75
2026-03-25,2026-03-30,92.85,0.0,22850,22600,23750,24000,157.15,6363.750000000002,expiry,6.363750000000001,11587.500000000002
2026-04-02,2026-04-07,84.8,0.25,22300,22100,23200,23450,165.2,5741.25,target,5.74125,17328.75
2026-04-09,2026-04-13,52.85,0.05,23400,23150,24350,24600,197.15,3360.0000000000005,target,3.3600000000000003,20688.75
2026-04-17,2026-04-21,31.15,0.0,23900,23650,24850,25100,218.85,1736.25,target,1.7362499999999998,22425.0
2026-04-24,2026-04-27,42.6,14.95,23450,23200,24400,24650,207.4,1473.7499999999995,target,1.4737499999999994,23898.75
2026-04-30,2026-05-04,37.2,8.15,23600,23400,24600,24800,162.8,1578.7500000000005,target,1.5787500000000003,25477.5
2026-05-08,2026-05-12,26.3,253.15,23750,23500,24700,24950,223.7,-17377.5,stop_loss,-17.3775,8100.0
2026-05-15,2026-05-18,31.5,10.2,23150,22950,24100,24350,218.5,997.4999999999998,target,0.9974999999999998,9097.5
2026-05-22,2026-05-26,22.2,0.05,23250,23050,24200,24450,227.8,1061.25,target,1.06125,10158.75
2026-05-29,2026-06-02,24.3,0.05,23250,23050,24200,24450,225.7,1218.75,target,1.21875,11377.5
2026-06-05,2026-06-09,27.4,0.1,23000,22750,23900,24150,222.6,1447.4999999999998,target,1.4474999999999998,12825.0
2026-06-12,2026-06-16,21.7,0.0,23200,23000,24150,24400,228.3,1027.5,target,1.0274999999999999,13852.5
2026-06-19,2026-06-22,9.75,2.4,23600,23350,24550,24800,240.25,-48.75,target,-0.048749999999999995,13803.75
2026-06-25,2026-06-29,8.15,3.9,23600,23400,24600,24850,241.85,-281.25,target,-0.28125,13522.5
2026-07-03,2026-07-06,5.8,1.7,23850,23600,24850,25100,244.2,-292.49999999999994,target,-0.2924999999999999,13230.0
2026-07-10,2026-07-14,7.25,0.1,23750,23500,24750,24950,242.75,-63.75,target,-0.06375,13166.25
