entry_date,exit_date,direction,credit,outcome,had_intraday,pnl_gross,pnl
2025-11-12,2025-11-13,bull,43.64999999999999,close,True,-540.0000000000002,-660.0000000000002
2025-11-13,2025-11-14,bear,26.35,close,True,652.5000000000002,532.5000000000002
2025-11-14,2025-11-17,bull,25.4,close,True,1691.2499999999998,1571.2499999999998
2025-11-17,2025-11-18,bull,8.35,stop,True,-1095.9375,-1215.9375
2025-11-19,2025-11-20,bull,33.4,close,True,1713.75,1593.75
2025-11-20,2025-11-21,bull,24.099999999999998,close,True,-1256.2500000000002,-1376.2500000000002
2025-11-21,2025-11-24,bear,15.549999999999999,close,True,1016.2499999999999,896.2499999999999
2025-11-24,2025-11-25,bear,5.9,close,True,438.75000000000006,318.75000000000006
2025-11-26,2025-11-27,bull,52.199999999999996,close,True,858.7499999999997,738.7499999999997
2025-12-01,2025-12-02,bear,1.0,close,True,75.0,-45.0
2025-12-04,2025-12-05,bull,30.999999999999996,close,True,1829.9999999999995,1709.9999999999995
2025-12-05,2025-12-08,bull,22.1,stop,True,-2900.6250000000005,-3020.6250000000005
2025-12-08,2025-12-09,bear,1.35,close,True,97.5,-22.5
2025-12-10,2025-12-11,bear,24.35,close,True,-524.9999999999998,-644.9999999999998
2025-12-11,2025-12-12,bull,29.299999999999997,close,True,1769.9999999999995,1649.9999999999995
2025-12-12,2025-12-15,bull,20.1,stop,True,-2638.1250000000005,-2758.1250000000005
2025-12-15,2025-12-16,bull,7.75,stop,True,-1017.1875,-1137.1875
2025-12-17,2025-12-18,bear,18.3,close,True,536.25,416.25
2025-12-19,2025-12-22,bull,10.65,close,True,712.5,592.5
2025-12-22,2025-12-23,bull,5.6499999999999995,close,True,420.0,300.0
2025-12-24,2025-12-26,bear,6.700000000000001,close,True,386.2500000000001,266.2500000000001
2025-12-26,2025-12-29,bear,6.6,close,True,371.24999999999994,251.24999999999994
2025-12-29,2025-12-30,bear,3.0500000000000003,close,True,225.00000000000003,105.00000000000003
2025-12-31,2026-01-01,bull,41.75,close,True,749.9999999999998,629.9999999999998
2026-01-02,2026-01-05,bull,20.35,stop,True,-2670.9375000000005,-2790.9375000000005
2026-01-05,2026-01-06,bear,0.8,close,True,60.0,-60.0
2026-01-08,2026-01-09,bear,8.350000000000001,close,True,356.25000000000006,236.25000000000006
2026-01-09,2026-01-12,bear,9.05,close,True,153.7500000000001,33.750000000000114
2026-01-12,2026-01-13,bull,9.899999999999999,stop,True,-1299.3749999999998,-1419.3749999999998
2026-01-14,2026-01-16,bear,20.8,stop,True,-2730.0000000000005,-2850.0000000000005
2026-01-16,2026-01-19,bear,15.399999999999999,close,True,1057.4999999999998,937.4999999999998
2026-01-23,2026-01-27,bear,19.2,close,True,1432.4999999999998,1312.4999999999998
2026-01-28,2026-01-29,bull,66.55,stop,True,-8734.6875,-8854.6875
2026-01-29,2026-01-30,bull,62.199999999999996,stop,True,-8163.75,-8283.75
2026-01-30,2026-02-02,bull,59.800000000000004,stop,True,-7848.75,-7968.75
2026-02-02,2026-02-03,bull,27.5,close,True,2058.75,1938.75
2026-02-04,2026-02-05,bull,47.8,close,True,-1481.25,-1601.25
2026-02-06,2026-02-09,bull,28.000000000000004,close,True,1725.0000000000002,1605.0000000000002
2026-02-09,2026-02-10,bull,8.45,close,True,629.9999999999999,509.9999999999999
2026-02-11,2026-02-12,bear,18.6,close,True,952.5000000000002,832.5000000000002
2026-02-12,2026-02-13,bear,18.799999999999997,close,True,993.7499999999998,873.7499999999998
2026-02-13,2026-02-16,bear,20.75,stop,True,-2723.4375,-2843.4375
2026-02-16,2026-02-17,bull,10.5,close,True,787.5,667.5
2026-02-18,2026-02-19,bull,24.700000000000003,stop,True,-3241.8750000000005,-3361.8750000000005
